Marca temporal;Título;Resumen;Link en The Movie DB;Género;Edad al momento de ver la película;Calificación;Género
2/20/2019 14:17:42;Aquaman (2018);La película revela la historia de origen de Arthur Curry, mitad humano y mitad atlante, y lo lleva al viaje de su vida, uno que no solo lo forzará a enfrentar quién es en realidad, sino a descubrir si es digno de quién es él. nació para ser ... un rey.;https://www.themoviedb.org/movie/297802-aquaman?language=es-MX;Hombre;25 a 40 años;7;Acción, Aventura, Fantasía
2/20/2019 14:19:11;Spider-Man: Into the Spider-Verse (2018);"En un universo paralelo donde Peter Parker ha muerto, un jóven de secundaria llamado Miles Morales es el nuevo Spider-Man. Sin embargo, cuando el líder mafioso Wilson Fisk (a.k.a Kingpin) construye el ""Super Colisionador"" trae a una versión alternativa de Peter Parker que tratará de enseñarle a Miles como ser un mejor Spider-Man. Pero no será el único Spider Man en entrar a este universo, 4 versiones alternas de Spidey aparecerán y buscarán regresar a su universo antes de que toda la realidad colapse.";https://www.themoviedb.org/movie/324857-spider-man-into-the-spider-verse?language=es-MX;Hombre;25 a 40 años;8;Acción, Aventura, Animación, Ciencia Ficción, Comedia
2/20/2019 14:20:16;Black Mirror: Bandersnatch (2018);"En 1984, un joven programador intenta adaptar una caótica novela de fantasía a un vídeojuego. Un desafío alucinante que le llevará a cuestionarse la realidad que le rodea. Película interactiva de ""Black Mirror"", dirigida por David Slade (""Hard Candy""), en la que el espectador puede tomar decisiones que cambian el rumbo de la historia, entre más de cinco finales posibles y 300 minutos filmados en total. También existe la opción de ver la película sin tomar ninguna decisión, lo que da como resultado un film de 90 minutos.";https://www.themoviedb.org/movie/569547-black-mirror-bandersnatch?language=es-MX;Hombre;25 a 40 años;7;Ciencia Ficción, Misterio, Drama, Suspense, Película de TV
2/20/2019 14:22:04;Dragon Ball Super: Broly (2018);La Tierra se encuentra en paz luego de disputarse el Torneo del Poder. Al darse cuenta de que en el universo aún hay personas extremadamente fuertes, Goku pasa los días entrenando para alcanzar un nivel superior. Pero un día, Goku y Vegeta son confrontados por un misterioso Saiyajin llamado Broly. La raza Saiyajin debería haberse extinguido por completo tras la destrucción del Planeta Vegeta, pero entonces, ¿qué está haciendo en la Tierra? Freezer, que ha regresado del infierno, está involucrado nuevamente y el encuentro entre estos tres Saiyajins, que han tenido un destino totalmente diferente, se convertirá en una batalla feroz.;https://www.themoviedb.org/movie/503314-untitled-dragon-ball-movie?language=es-MX;Hombre;25 a 40 años;9;Acción, Animación, Fantasía, Aventura, Comedia
2/20/2019 14:22:36;Bird Box (2018);Pasaron cinco años desde que fuerzas jamás vistas condujeron a la población al suicidio. Una sobreviviente y sus hijos lo arriesgan todo para buscar un refugio;https://www.themoviedb.org/movie/405774-bird-box?language=es-MX;Hombre;25 a 40 años;7;Suspense, Drama
2/20/2019 14:23:11;Roma (2018);Cleo (Yalitza Aparicio) es la joven sirvienta de una familia que vive en la Colonia Roma, barrio de clase media-alta de Ciudad de México. En esta carta de amor a las mujeres que lo criaron, Cuarón se inspira en su propia infancia para pintar un retrato realista y emotivo de los conflictos domésticos y las jerarquías sociales durante la agitación política de la década de los 70.;https://www.themoviedb.org/movie/426426-roma?language=es-MX;Hombre;25 a 40 años;4;Drama
2/20/2019 14:23:38;El Potro: Lo mejor del amor (2018);El sueño de Rodrigo siempre ha sido cantar. Sus padres lo acompañan en su deseo y Rodrigo ingresa en el ambiente de la música tropical como cantante romántico. El impacto generado es muy grande debido tanto a su juventud y belleza, como también a su magnetismo y carisma. Cuando el éxito parecía que podía estar al alcance de sus manos, lo sorprende la devastadora muerte de su padre y se recluye junto a su familia en su provincia natal, Córdoba. Durante ese período de duelo, Rodrigo comprenderá que la vida sigue y que lo más importante que tiene para salir adelante es la música, pero esta vez será la que él lleva en la sangre: el cuarteto;https://www.themoviedb.org/movie/572709-el-potro-lo-mejor-del-amor?language=es-MX;Hombre;25 a 40 años;7;Drama, Música
2/20/2019 14:24:00;Mowgli: Legend of the Jungle (2018);Trata sobre la educación de Mowgli, criado por una manada de lobos en las selvas de India. Mientras aprende las reglas, a menudo complicadas, de la jungla. Bajo la tutela de un oso llamado Baloo y una pantera llamada Bagheera, Mowgli llega a ser aceptado por los animales de la jungla como uno más de ellos. Por todos menos uno: el temible tigre Shere Khan. Pero puede haber peligros mayores acechando en la jungla, cuando Mowgli se enfrenta a sus orígenes humanos.;https://www.themoviedb.org/movie/407436-mowgli-legend-of-the-jungle?language=es-MX;Hombre;25 a 40 años;7;Aventura, Drama
2/20/2019 14:24:28;Venom (2018);Como periodista, Eddie Brock (Tom Hardy) lleva tiempo intentando desenmascarar al creador de la Fundación Vida, el famoso genio científico Carlton Drake (Riz Ahmed), una obsesión que ha arruinado su carrera y su relación con su novia, Anne (Michelle Williams). Al investigar uno de los experimentos de Drake, el ente alienígena Venom se fusiona con el cuerpo de Eddie, y el reportero adquiere de pronto nuevos e increíbles superpoderes, así como la oportunidad de hacer prácticamente lo que se le antoje. Retorcido, oscuro, impredecible e impulsado por la ira, Venom obliga a Eddie a luchar por controlar unas habilidades sumamente peligrosas que, al mismo tiempo, también resultan embriagadoras y le hacen sentir poderoso. Dado que Eddie y Venom se necesitan mutuamente para conseguir lo que quieren, se van entremezclando cada vez más...;https://www.themoviedb.org/movie/335983-venom?language=es-MX;Hombre;25 a 40 años;5;Ciencia Ficción, Acción
2/20/2019 14:24:58;Moon of Avellaneda (2004);Luna de Avellaneda, un club de barrio que vivió en el pasado una época de esplendor, está atravesando una crisis que pone en peligro su existencia. Al parecer, la única salida posible es que se convierta en un Casino, pero esto se aparta de los ideales y de los fines para los que fue fundado en los años 40: un club social, deportivo y cultural. Los descendientes de los fundadores se debatirán entre la posibilidad de salvarse a cualquier precio o conservar el espíritu original del club.;https://www.themoviedb.org/movie/57977-luna-de-avellaneda?language=es-MX;Hombre;25 a 40 años;8;Drama, Romance
